M_1	M_2	M_3	WT_1	WT_2	WT_3
AT1G01010	3.04058902176863	5.89669230941596	3.5655774365471	8.63778779126083	4.23933322363693	4.81873167028607
AT1G01020	8.89443330666898	8.95225105156786	8.06809492941315	9.31211323221427	10.232873298434	8.77256278436695
AT1G01030	1.56291959062873	1.47417307735399	1.24925340842526	23.9224977862056	25.4944729035269	13.0043976486566
AT1G01040	47.0296713180101	54.0351440717389	51.3755464214889	41.9687310155312	47.1881642962069	35.8933730825155
AT1G01046	1.05141863369569	1.17933846188319	1.37938397180289	0.89910058793793	0.847866644727386	1.3591294454653
AT1G01050	29.9228059805829	29.7246898688286	27.0671571825473	21.6426355810773	22.2199534480281	24.4025514072179
AT1G01060	1.07983535352531	1.34015734304908	2.60261126755263	2.69730176381379	0.58473561705337	2.22403000167049
AT1G01070	3.38158965972399	4.50292867264491	4.86688307032342	0.706436176236945	0.058473561705337	0.741343333890165
AT1G01080	82.8631550231525	55.7773486177027	75.6839356604304	58.9874207157849	83.3540622109579	66.1957818552759
AT1G01090	157.28654425691	125.706758778004	136.116569293002	119.676710401595	144.166566384508	128.005282318368
AT1G01100	161.833219429648	105.95283954146	116.206593096225	61.1709507150627	96.8029814031854	57.8247800434328
AT1G01110	6.76317931944798	3.88645629484233	4.99701363370105	1.38076161719039	4.23933322363693	2.74914819650936
AT1G01120	88.8874996270306	43.6355230896781	95.8021207586122	338.800367976182	170.216538124236	226.449499197867
AT1G01130	1.10825207335492	0.964913286995338	1.45746230982947	1.99086558757684	2.42665281077149	3.11981986345444
AT1G01140	25.4329642475039	61.191584283621	39.3775084780713	187.430361849775	200.739737334422	212.549311687426
AT1G01150	0.0568334396592267	0	0.156156676053158	0	0	0
AT1G01160	44.7847504514706	40.4727517600822	40.106239632986	22.8628435218502	33.8269554465374	26.0087952973133
AT1G01170	59.163610685255	56.903080785864	60.4066075198965	36.8310133701716	56.0761456754182	44.2025962832011
AT1G01180	11.8213554491192	26.9639657421475	19.7277934080489	10.8855392611056	7.57232624084114	13.6530730658105
AT1G01183	0	0	0	0	0	0
AT1G01190	3.58050669853128	4.47612552578393	2.05606290136658	6.58270073311699	3.42070335976221	4.13916694755342
AT1G01200	0.966168474206854	0.482456643497669	0.598600591537105	0.545882499819457	0.613972397906038	0.154446527893784
AT1G01210	8.35451562990632	5.89669230941596	6.66268484493473	4.23861705742167	5.99354007479704	3.73760597502958
AT1G01220	31.7983094893373	27.8216664416989	31.2313352106315	14.1608342600224	21.6644546118274	18.2864689026241
AT1G01225	2.64275494415404	1.34015734304908	1.56156676053158	0.51377176453596	1.54954938519143	0.772232639468921
AT1G01230	14.7482775915693	19.5126909147946	16.3964509855816	19.8444344052015	16.9865696754004	20.1707165429282
AT1G01240	35.1230657094021	67.2222923273419	57.2834739988334	31.436409842544	42.861120730012	61.2226036570961
AT1G01250	2.10283726739139	1.07212587443926	0.988992281669999	1.2202079407729	2.22199534480281	1.97691555704044
AT1G01260	17.2205322167457	20.9064545515657	14.0541008447842	92.2220317342048	104.96004326108	72.8678718602874
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0.0321107352834975	0	0
AT1G01290	12.0202724879264	12.8387073464102	10.8528889856945	7.35335837992093	7.54308945998847	5.80718944880629
AT1G01300	79.964649600532	45.136499313893	63.6338454916618	63.643477331892	98.0601629798501	53.9018382349307
AT1G01305	0	0	0	0	0	0.0617786111575137
AT1G01310	0.25575047846652	0.134015734304908	0.338339464781842	0.064221470566995	0.058473561705337	0.278003750208812
AT1G01320	297.324139577244	333.082706041419	278.583510078833	146.135956275197	182.846827452589	164.022212623199
AT1G01335	0	0	0	0	0	0
AT1G01340	4.31934141410123	7.96053461771154	5.10111808440315	11.2387573492241	4.76559527898497	7.62965847795294
AT1G01350	16.9931984581088	15.7334472073962	16.1361898588263	18.6242264644285	14.7645743305976	15.4137634837997
AT1G01355	0.625167836251494	1.23294475560515	0.598600591537105	0.12844294113399	0	0.0926679167362706
AT1G01360	7.70093107382522	9.35429825448258	11.0090456617476	12.0415257313116	13.7705237816069	22.0240748776536
AT1G01370	3.89309061665703	1.17933846188319	2.5765851548771	1.3165401466234	1.46183904263342	0.772232639468921
AT1G01380	0.539917676762654	0.428850349775706	1.14514895772316	0	0.175420685116011	0.432450278102596
AT1G01390	0.738834715569947	1.42056678363203	1.69169732390921	1.02754352907192	1.69573328945477	1.42090805662282
AT1G01400	0	0.0268031468609816	0.104104450702105	0	0	0
AT1G01410	0	0	0	0	0.0292367808526685	0
AT1G01420	5.5412603667746	7.31725909304798	8.17219938011525	2.82574470494778	2.74825740015084	3.83027389176585
AT1G01430	61.0959476336687	58.2432381289131	58.6108057452852	13.0048477898165	24.5004223545362	28.9123900217164
AT1G01440	28.075719191658	30.4215716872141	32.688797520461	20.5187598461549	16.489544400905	21.5607352939723
AT1G01448	21.9661244282911	20.370391614346	21.1071773798518	7.89924087974038	13.2442617262588	10.3170280633048
AT1G01450	12.8443573629852	12.6778884652443	13.403448027896	4.94505323365861	8.47866644727386	7.04276167195656
AT1G01453	0.113666879318453	0.428850349775706	0.20820890140421	0	0	0.0308893055787569
AT1G01460	0	0.0268031468609816	0	0.064221470566995	0	0.0308893055787569
AT1G01470	71.581717250796	148.167795847506	101.345682758499	1125.03172139262	675.837426190285	1018.38951562603
AT1G01480	2.15967070705061	12.2490381154686	5.56958811256262	7.28913690935393	2.74825740015084	6.23963972690889
AT1G01490	59.0215270861069	85.2072038710606	67.850075745097	20.8398671989899	25.1436315332949	30.0552943281304
AT1G01500	19.7780370014109	33.7719650448368	20.6907595770434	18.8811123466965	20.3487994734573	20.1707165429282
AT1G01510	52.2299310468293	41.2768461659117	43.2553992667247	23.4408367569532	29.9677003739852	19.8309341815619
AT1G01520	0.454667517273814	0.107212587443926	0.130130563377631	0.064221470566995	0.0292367808526685	0.679564722732651
AT1G01530	0.113666879318453	0.134015734304908	0	0	0	0
AT1G01540	118.696638728295	70.7335045661305	109.465829913264	64.3178027728455	62.4497639012999	55.6316393473411
AT1G01550	115.002465150445	185.316957396827	146.474962137862	214.692376105464	158.901903934253	215.761799467617
AT1G01560	11.8213554491192	12.5438727309394	7.65167712660473	34.7759263120278	13.9167076858702	21.1282850158697
AT1G01570	1.7050031897768	1.47417307735399	1.5875928732071	5.94048602744704	3.33299301720421	4.10827764197466
AT1G01580	0.34100063795536	0.804094405829449	1.0930967323721	1.18809720548941	0.994050548990729	2.47114444630055
AT1G01590	0.68200127591072	0.83089755269043	0.104104450702105	0.224775146984482	0.146183904263342	0.370671666945082
AT1G01600	8.9512667463282	1.58138566479792	6.16818870409973	0.12844294113399	1.28641835751741	0.154446527893784
AT1G01610	58.7089431679812	41.1160272847458	59.886085266386	31.693295724812	24.3250016694202	34.9666939151528
